Status;Ano SolicitaÁ„o;SEI;Sexo;Estado Civil;Idade SolicitaÁ„o;PaÌs de Origem;Continente;Cidade SolicitaÁ„o;UF SolicitaÁ„o;Ano Decis„o;Motivo Arquivamento;Diff_Decisao_solicitacao;Alvo
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);30;NIG…RIA;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2010;N√O;FEMININO;SOLTEIRO(A);27;EQUADOR;AmÈrica Do Sul;Natal;RN;2013;Decis„o Cnig Res. 27;3;A
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);44;GUIN…-BISSAU;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2011;N√O;MASCULINO;SOLTEIRO(A);38;PAQUIST√O;¡sia;BrasÌlia;DF;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2011;N√O;FEMININO;VI⁄VO(A);22;REP. DEM. DO CONGO;¡frica;Rio De Janeiro;RJ;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2011;N√O;MASCULINO;SOLTEIRO(A);33;GANA;¡frica;BrasÌlia;DF;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2012;N√O;MASCULINO;CASADO(A);28;SENEGAL;¡frica;Caxias Do Sul;RS;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);22;SENEGAL;¡frica;Caxias Do Sul;RS;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2011;N√O;MASCULINO;SOLTEIRO(A);36;PAQUIST√O;¡sia;BrasÌlia;DF;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);38;NIG…RIA;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2011;N√O;MASCULINO;SOLTEIRO(A);26;EGITO;¡frica;BrasÌlia;DF;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2011;N√O;MASCULINO;SOLTEIRO(A);39;NIG…RIA;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);46;SENEGAL;¡frica;Rio De Janeiro;RJ;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);27;GUIN…-BISSAU;¡frica;Rio De Janeiro;RJ;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2012;N√O;FEMININO;SOLTEIRO(A);35;TOGO;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2013;N√O;MASCULINO;SOLTEIRO(A);32;NIG…RIA;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;0;B
ARQUIVADOS;2012;N√O;MASCULINO;CASADO(A);34;SENEGAL;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);25;PAQUIST√O;¡sia;BrasÌlia;DF;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2011;N√O;MASCULINO;SOLTEIRO(A);26;SENEGAL;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2011;N√O;MASCULINO;CASADO(A);41;NIG…RIA;¡frica;BrasilÈia;AC;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2011;N√O;MASCULINO;CASADO(A);33;GUIN…-CONACRI;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2011;N√O;MASCULINO;SOLTEIRO(A);27;MARROCOS;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);30;GUIN…-BISSAU;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);26;GANA;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);25;GUIN…-BISSAU;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2010;N√O;FEMININO;CASADO(A);41;CUBA;AmÈrica Central;C√°ceres;MT;2013;Decis„o Cnig Res. 27;3;A
ARQUIVADOS;2012;N√O;FEMININO;SOLTEIRO(A);32;GUIN…-BISSAU;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);28;GUIN…-BISSAU;¡frica;Rio De Janeiro;RJ;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2013;N√O;MASCULINO;SOLTEIRO(A);27;SENEGAL;¡frica;Caxias Do Sul;RS;2013;Decis„o Cnig Res. 27;0;B
ARQUIVADOS;2011;N√O;MASCULINO;SOLTEIRO(A);26;NIG…RIA;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);29;NIG…RIA;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);32;NIG…RIA;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2012;N√O;FEMININO;SOLTEIRO(A);20;ANGOLA;¡frica;Rio De Janeiro;RJ;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2012;N√O;FEMININO;SOLTEIRO(A);24;SENEGAL;¡frica;Rio De Janeiro;RJ;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2012;N√O;FEMININO;SOLTEIRO(A);21;ANGOLA;¡frica;Rio De Janeiro;RJ;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2011;N√O;MASCULINO;SOLTEIRO(A);31;ANGOLA;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2013;N√O;MASCULINO;SOLTEIRO(A);31;GUIN…-BISSAU;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;0;B
ARQUIVADOS;2011;N√O;FEMININO;SOLTEIRO(A);18;REP. DEM. DO CONGO;¡frica;Rio De Janeiro;RJ;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);25;MALI;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);34;GUIN…-BISSAU;¡frica;Rio De Janeiro;RJ;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);21;REP. DEM. DO CONGO;¡frica;Rio De Janeiro;RJ;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2011;N√O;FEMININO;SOLTEIRO(A);26;GUIN…-BISSAU;¡frica;Rio De Janeiro;RJ;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);29;GUIN…-BISSAU;¡frica;Rio De Janeiro;RJ;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2011;N√O;MASCULINO;SOLTEIRO(A);27;GUIN…-BISSAU;¡frica;Rio De Janeiro;RJ;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2011;N√O;MASCULINO;SOLTEIRO(A);28;GUIN…-BISSAU;¡frica;Rio De Janeiro;RJ;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);47;CUBA;AmÈrica Central;BrasÌlia;DF;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2011;N√O;MASCULINO;SOLTEIRO(A);30;GUIN…-BISSAU;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2013;N√O;MASCULINO;SOLTEIRO(A);18;SENEGAL;¡frica;Rio De Janeiro;RJ;2013;Decis„o Cnig Res. 27;0;B
ARQUIVADOS;2013;N√O;MASCULINO;CASADO(A);43;SENEGAL;¡frica;Caxias Do Sul;RS;2013;Decis„o Cnig Res. 27;0;B
ARQUIVADOS;2013;N√O;MASCULINO;SOLTEIRO(A);26;SENEGAL;¡frica;Caxias Do Sul;RS;2013;Decis„o Cnig Res. 27;0;B
ARQUIVADOS;2013;SIM;MASCULINO;SOLTEIRO(A);21;GUIN…-CONACRI;¡frica;S„o Paulo;SP;2016;Deixou De Atualizar EndereÁo;3;A
ARQUIVADOS;2012;N√O;FEMININO;SOLTEIRO(A);21;GUIN…-BISSAU;¡frica;BrasÌlia;DF;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2011;N√O;MASCULINO;CASADO(A);31;NIG…RIA;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2011;N√O;MASCULINO;SOLTEIRO(A);36;NIG…RIA;¡frica;Manaus;AM;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);26;GUIN…-BISSAU;¡frica;BrasÌlia;DF;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);23;NIG…RIA;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2012;N√O;FEMININO;CASADO(A);40;REP. DEM. DO CONGO;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);26;GANA;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);26;SENEGAL;¡frica;Rio De Janeiro;RJ;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2010;N√O;MASCULINO;CASADO(A);60;PAQUIST√O;¡sia;BrasÌlia;DF;2013;Decis„o Cnig Res. 27;3;A
ARQUIVADOS;2011;N√O;MASCULINO;DIVORCIADO(A);47;CUBA;AmÈrica Central;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);27;GUIN…-BISSAU;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2011;N√O;FEMININO;SOLTEIRO(A);27;GUIN…-BISSAU;¡frica;Rio De Janeiro;RJ;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);41;GUIN…-BISSAU;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);47;ALEMANHA;Europa;FlorianÛpolis;SC;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2013;N√O;MASCULINO;SOLTEIRO(A);28;SENEGAL;¡frica;BrasilÈia;AC;2013;Decis„o Cnig Res. 27;0;B
ARQUIVADOS;2011;N√O;MASCULINO;SOLTEIRO(A);32;GUIN…-CONACRI;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2011;N√O;MASCULINO;SOLTEIRO(A);27;CUBA;AmÈrica Central;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2010;N√O;MASCULINO;CASADO(A);28;REP. DEM. DO CONGO;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;3;A
ARQUIVADOS;2011;N√O;MASCULINO;VI⁄VO(A);42;ÕNDIA;¡sia;BrasÌlia;DF;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);28;NIG…RIA;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);23;GUIN…-BISSAU;¡frica;Rio De Janeiro;RJ;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);23;GUIN…-BISSAU;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);25;GUIN…-BISSAU;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2012;N√O;FEMININO;VI⁄VO(A);34;GUIN…-CONACRI;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2013;N√O;MASCULINO;CASADO(A);34;SENEGAL;¡frica;Caxias Do Sul;RS;2013;Decis„o Cnig Res. 27;0;B
ARQUIVADOS;2011;N√O;MASCULINO;SOLTEIRO(A);26;SERRA LEOA;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);33;COSTA DO MARFIM;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2013;N√O;MASCULINO;SOLTEIRO(A);30;NIG…RIA;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;0;B
ARQUIVADOS;2011;N√O;MASCULINO;SOLTEIRO(A);36;PAQUIST√O;¡sia;BrasÌlia;DF;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2013;N√O;MASCULINO;SOLTEIRO(A);30;ROM NIA;Europa;Rio De Janeiro;RJ;2013;Decis„o Cnig Res. 27;0;B
ARQUIVADOS;2013;N√O;MASCULINO;CASADO(A);27;PAQUIST√O;¡sia;NiterÛi;RJ;2013;Decis„o Cnig Res. 27;0;B
ARQUIVADOS;2011;N√O;FEMININO;SOLTEIRO(A);23;LIB…RIA;¡frica;Rio De Janeiro;RJ;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);31;NIG…RIA;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);27;GUIN…-BISSAU;¡frica;Rio De Janeiro;RJ;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2011;N√O;MASCULINO;SOLTEIRO(A);29;NIG…RIA;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2012;N√O;MASCULINO;DIVORCIADO(A);44;COL‘MBIA;AmÈrica Do Sul;BrasÌlia;DF;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);23;NIG…RIA;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2010;N√O;MASCULINO;SOLTEIRO(A);35;RUANDA;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;3;A
ARQUIVADOS;2011;N√O;MASCULINO;SOLTEIRO(A);36;NIG…RIA;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2011;N√O;MASCULINO;CASADO(A);34;GUIN…-CONACRI;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2010;N√O;MASCULINO;SOLTEIRO(A);31;SERRA LEOA;¡frica;Tabatinga;AM;2013;Decis„o Cnig Res. 27;3;A
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);27;GUIN…-BISSAU;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2011;N√O;FEMININO;SOLTEIRO(A);43;CUBA;AmÈrica Central;Manaus;AM;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2010;N√O;MASCULINO;SOLTEIRO(A);39;GUIN…-BISSAU;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;3;A
ARQUIVADOS;2011;N√O;MASCULINO;SOLTEIRO(A);26;GUIN…-BISSAU;¡frica;Rio De Janeiro;RJ;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2011;N√O;FEMININO;SOLTEIRO(A);29;CUBA;AmÈrica Central;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2013;N√O;MASCULINO;SOLTEIRO(A);55;CHILE;AmÈrica Do Sul;Corumb·;MS;2013;DesistÍncia Volunt·ria;0;B
ARQUIVADOS;2012;N√O;MASCULINO;CASADO(A);45;GUATEMALA;AmÈrica Central;Tabatinga;AM;2012;DesistÍncia Volunt·ria;0;B
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);33;COL‘MBIA;AmÈrica Do Sul;Manaus;AM;2013;DesistÍncia Volunt·ria;1;B
ARQUIVADOS;2010;N√O;MASCULINO;SOLTEIRO(A);32;SUD√O;¡frica;BrasÌlia;DF;2013;Decis„o Cnig Res. 27;3;A
ARQUIVADOS;2013;N√O;MASCULINO;SOLTEIRO(A);40;SENEGAL;¡frica;GuaÌra;PR;2013;Decis„o Cnig Res. 27;0;B
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);44;GUIN…-BISSAU;¡frica;Rio De Janeiro;RJ;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);31;TRINIDAD E TOBAGO;AmÈrica Central;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2012;N√O;FEMININO;SOLTEIRO(A);27;REP. DEM. DO CONGO;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2011;N√O;MASCULINO;CASADO(A);38;GUIN…-BISSAU;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2011;N√O;MASCULINO;SOLTEIRO(A);19;BANGLADECHE;¡sia;BrasÌlia;DF;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2011;N√O;MASCULINO;SOLTEIRO(A);24;SUD√O;¡frica;BrasÌlia;DF;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2011;N√O;MASCULINO;SOLTEIRO(A);30;COL‘MBIA;AmÈrica Do Sul;Rio De Janeiro;RJ;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2013;N√O;MASCULINO;SOLTEIRO(A);22;SENEGAL;¡frica;Caxias Do Sul;RS;2013;Decis„o Cnig Res. 27;0;B
ARQUIVADOS;2013;N√O;MASCULINO;SOLTEIRO(A);32;BURKINA-FASO;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;0;B
ARQUIVADOS;2012;N√O;MASCULINO;CASADO(A);29;SENEGAL;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2012;N√O;MASCULINO;CASADO(A);26;SENEGAL;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2013;N√O;MASCULINO;CASADO(A);27;SENEGAL;¡frica;Porto Alegre;RS;2013;Decis„o Cnig Res. 27;0;B
ARQUIVADOS;2013;N√O;MASCULINO;SOLTEIRO(A);19;SENEGAL;¡frica;Caxias Do Sul;RS;2013;Decis„o Cnig Res. 27;0;B
ARQUIVADOS;2012;N√O;MASCULINO;CASADO(A);38;SENEGAL;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2011;N√O;MASCULINO;SOLTEIRO(A);24;REP. DEM. DO CONGO;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);0;PAQUIST√O;¡sia;BrasÌlia;DF;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2011;N√O;MASCULINO;SOLTEIRO(A);23;PAQUIST√O;¡sia;BrasÌlia;DF;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2011;N√O;MASCULINO;SOLTEIRO(A);23;BANGLADECHE;¡sia;BrasÌlia;DF;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2011;N√O;MASCULINO;SOLTEIRO(A);49;GUIN…-BISSAU;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2012;N√O;MASCULINO;VI⁄VO(A);28;PAQUIST√O;¡sia;BrasÌlia;DF;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2008;N√O;MASCULINO;CASADO(A);31;SENEGAL;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;5;A
ARQUIVADOS;2013;N√O;MASCULINO;SOLTEIRO(A);30;SENEGAL;¡frica;Rio De Janeiro;RJ;2013;Decis„o Cnig Res. 27;0;B
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);27;SENEGAL;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2012;N√O;MASCULINO;CASADO(A);33;SENEGAL;¡frica;Caxias Do Sul;RS;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);36;SENEGAL;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2013;N√O;MASCULINO;SOLTEIRO(A);28;SENEGAL;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;0;B
ARQUIVADOS;2011;N√O;MASCULINO;SOLTEIRO(A);38;GUIN…-BISSAU;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2011;N√O;MASCULINO;SOLTEIRO(A);40;CUBA;AmÈrica Central;PacaraÌma;RR;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2011;N√O;FEMININO;CASADO(A);44;CUBA;AmÈrica Central;Porto Alegre;RS;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2013;N√O;MASCULINO;SOLTEIRO(A);33;BURKINA-FASO;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;0;B
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);35;GUIN…-BISSAU;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2011;N√O;MASCULINO;SOLTEIRO(A);36;NIG…RIA;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);40;GUIN…-BISSAU;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);35;NIG…RIA;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);28;NIG…RIA;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2011;N√O;MASCULINO;SOLTEIRO(A);27;NIG…RIA;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2012;N√O;MASCULINO;CASADO(A);29;SENEGAL;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2013;N√O;MASCULINO;SOLTEIRO(A);23;SENEGAL;¡frica;Caxias Do Sul;RS;2013;Decis„o Cnig Res. 27;0;B
ARQUIVADOS;2011;N√O;MASCULINO;SOLTEIRO(A);21;REP. DEM. DO CONGO;¡frica;Rio De Janeiro;RJ;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2011;N√O;MASCULINO;SOLTEIRO(A);29;REP. DEM. DO CONGO;¡frica;Rio De Janeiro;RJ;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2013;N√O;MASCULINO;SOLTEIRO(A);30;GUIN…-BISSAU;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;0;B
ARQUIVADOS;2011;N√O;MASCULINO;SOLTEIRO(A);22;REP. DEM. DO CONGO;¡frica;Rio De Janeiro;RJ;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2011;N√O;MASCULINO;SOLTEIRO(A);32;GUIN…-BISSAU;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);29;GUIN…-BISSAU;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2012;N√O;MASCULINO;CASADO(A);28;NEPAL;¡sia;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2011;N√O;MASCULINO;CASADO(A);43;REP. DOMINICANA;AmÈrica Central;BrasilÈia;AC;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2013;N√O;MASCULINO;SOLTEIRO(A);25;BANGLADECHE;¡sia;BrasÌlia;DF;2013;Decis„o Cnig Res. 27;0;B
ARQUIVADOS;2012;N√O;MASCULINO;SOLTEIRO(A);46;CUBA;AmÈrica Central;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
ARQUIVADOS;2010;N√O;MASCULINO;MENOR;4;CUBA;AmÈrica Central;C√°ceres;MT;2013;Decis„o Cnig Res. 27;3;A
ARQUIVADOS;2011;N√O;MASCULINO;SOLTEIRO(A);26;MARROCOS;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;2;A
ARQUIVADOS;2012;N√O;MASCULINO;CASADO(A);27;SENEGAL;¡frica;S„o Paulo;SP;2013;Decis„o Cnig Res. 27;1;B
